chain1,chain2,contacts,mean_distance,min_distance
2,3,174,3.7736206896551723,2.64
3,2,166,3.766927710843373,2.64
1,1,160,3.9188125,2.29
3,3,134,3.80955223880597,2.76
1,3,127,3.850787401574803,2.63
3,1,127,3.851023622047244,2.63
1,2,89,3.8623595505617976,2.6
2,2,88,3.8207954545454546,1.83
2,1,88,3.857727272727273,2.6
4,4,68,3.6326470588235296,2.8
1,4,17,3.8876470588235295,3.06
4,1,17,3.8870588235294115,3.06
4,3,16,4.035625,3.42
3,4,16,4.035625,3.42
2,4,12,3.765,2.71
4,2,12,3.7641666666666667,2.71
0,0,2,4.41,4.41
0,4,1,4.91,4.91
4,0,1,4.91,4.91
