chain1,chain2,contacts,mean_distance,min_distance
B,B,297,3.781784511784512,1.9
B,C,231,3.814761904761905,1.34
C,C,214,3.7239719626168224,1.26
C,B,195,3.7613333333333334,2.34
A,A,190,3.929157894736842,2.49
C,A,130,3.725846153846154,2.43
A,C,130,3.7257692307692305,2.43
D,D,124,3.9733870967741933,2.57
C,D,75,3.9266666666666667,2.0
D,C,75,3.9266666666666667,2.0
A,B,57,3.8971929824561404,2.74
B,A,57,3.8971929824561404,2.74
D,A,48,3.7904166666666668,2.4
A,D,48,3.7904166666666668,2.4
B,D,3,3.8366666666666664,3.65
D,B,3,3.8366666666666664,3.65
